Date,Open,High,Low,Close,Volume,Turnover,Index_Name
2017-05-05,7579.5,7579.8,7407.45,7457.8,262779338.0,28633600000.0,NIFTY SMLCAP 100
2017-05-08,7489.1,7551.8,7469.0,7547.25,185910789.0,20349300000.0,NIFTY SMLCAP 100
2017-05-09,7578.65,7620.4,7554.85,7591.05,310644491.0,28828300000.0,NIFTY SMLCAP 100
2017-05-10,7628.55,7656.45,7618.45,7645.65,217298788.0,24296700000.0,NIFTY SMLCAP 100
2017-05-11,7671.8,7678.75,7591.3,7606.2,205312368.0,24646400000.0,NIFTY SMLCAP 100
2017-05-12,7625.8,7632.15,7522.45,7561.35,199834641.0,22293700000.0,NIFTY SMLCAP 100
2017-05-15,7595.9,7607.85,7566.95,7593.7,160883996.0,18510200000.0,NIFTY SMLCAP 100
2017-05-16,7592.1,7650.65,7588.85,7644.9,294097536.0,22944500000.0,NIFTY SMLCAP 100
2017-05-17,7641.7,7662.1,7613.5,7636.9,194068148.0,25785900000.0,NIFTY SMLCAP 100
2017-05-18,7565.4,7608.85,7440.55,7457.25,300244941.0,22637500000.0,NIFTY SMLCAP 100
2017-05-19,7511.9,7567.55,7366.0,7399.95,189685677.0,21225600000.0,NIFTY SMLCAP 100
2017-05-22,7434.8,7456.55,7254.5,7265.3,181647190.0,18063400000.0,NIFTY SMLCAP 100
2017-05-23,7279.25,7279.35,6995.8,7078.1,230855814.0,22187199999.999996,NIFTY SMLCAP 100
2017-05-24,7085.5,7114.8,6904.4,6933.85,221130657.0,20384900000.0,NIFTY SMLCAP 100
2017-05-25,6973.85,7150.75,6960.3,7136.5,270352486.0,22921900000.0,NIFTY SMLCAP 100
2017-05-26,7160.85,7267.35,7158.1,7261.3,285404620.0,19653200000.0,NIFTY SMLCAP 100
2017-05-29,7278.35,7287.1,7099.35,7111.8,201496121.0,18048000000.0,NIFTY SMLCAP 100
2017-05-30,7101.8,7112.25,7018.5,7107.2,218378437.0,17064400000.0,NIFTY SMLCAP 100
2017-05-31,7135.85,7205.9,7131.8,7182.95,296605441.0,24988300000.0,NIFTY SMLCAP 100
2017-06-01,7189.35,7275.8,7185.1,7268.1,194141244.0,18245100000.0,NIFTY SMLCAP 100
2017-06-02,7306.1,7332.05,7281.0,7316.95,222454104.0,16684200000.0,NIFTY SMLCAP 100
2017-06-05,7329.85,7367.85,7315.75,7345.6,144993303.0,18591400000.0,NIFTY SMLCAP 100
2017-06-06,7362.85,7379.2,7261.3,7292.55,185513417.0,21776800000.0,NIFTY SMLCAP 100
2017-06-07,7318.3,7359.45,7291.3,7321.9,151666906.0,18458700000.0,NIFTY SMLCAP 100
2017-06-08,7342.3,7356.9,7301.7,7337.5,136560042.0,17134300000.0,NIFTY SMLCAP 100
2017-06-09,7347.6,7388.25,7312.3,7373.6,175024425.0,18096400000.0,NIFTY SMLCAP 100
2017-06-12,7354.85,7371.55,7305.45,7313.8,137156078.0,16721800000.0,NIFTY SMLCAP 100
2017-06-13,7333.15,7388.1,7324.8,7339.45,196761678.0,18193700000.0,NIFTY SMLCAP 100
2017-06-14,7351.1,7401.45,7327.1,7398.4,218089430.0,21940500000.0,NIFTY SMLCAP 100
2017-06-15,7404.45,7434.55,7385.65,7411.2,291755726.0,21739300000.0,NIFTY SMLCAP 100
2017-06-16,7432.55,7472.55,7425.75,7443.65,235452105.0,23951900000.0,NIFTY SMLCAP 100
